"","i",".te"
"1","FGRA","Gras"
"2","FMAI","Fodder maize"
"3","FOFA","Fodder other on arable land"
"4","FROO","Fodder root crops"
"5","FCOM","Milk for feeding"
"6","FSGM","Sheep and Goat Milk for feeding"
"7","FSTR","Straw"
"8","FCER","Feed cereals"
"9","FPRO","Feed rich protein"
"10","FENE","Feed rich energy"
"11","FMIL","Feed from milk product"
"12","FOTH","Feed other"
