col,R,G,B
,239,243,255
,189,215,231
,107,174,214
,49,130,189
,8,81,156
,242,240,247
,203,201,226
,158,154,200
,117,107,177
,84,39,143
,254,229,217
,252,174,145
,251,106,74
,222,45,38
,165,15,21
,237,248,233
,186,228,179
,116,196,118
,49,163,84
,0,109,44
