"","i1","i2","i3","i4","value"
"3470","BL000000","CAMF","FOTH","Y",442.024330940574
"3562","BL000000","CAFF","FGRA","Y",1122.68899776067
"3563","BL000000","CAFF","FMAI","Y",122.111352239225
"3564","BL000000","CAFF","FOFA","Y",287.126222114581
"3565","BL000000","CAFF","FROO","Y",42.5712182928337
"3566","BL000000","CAFF","FCOM","Y",78.5399331828063
"3567","BL000000","CAFF","FSTR","Y",0.547283595300828
"3568","BL000000","CAFF","FCER","Y",262.763612573693
"3569","BL000000","CAFF","FPRO","Y",9.40742639166928
"3570","BL000000","CAFF","FENE","Y",5.22249988728523
"3571","BL000000","CAFF","FMIL","Y",0.494605381911843
"3572","BL000000","CAFF","FOTH","Y",484.32991788009
"3664","BL000000","CAMR","FGRA","Y",1520.1371749807
"3665","BL000000","CAMR","FMAI","Y",2309.8984305949
"3666","BL000000","CAMR","FOFA","Y",23.2597798866164
"3667","BL000000","CAMR","FROO","Y",72.6534333270614
"3668","BL000000","CAMR","FCOM","Y",143.730316293323
"3669","BL000000","CAMR","FSTR","Y",1.0712786082073
"3670","BL000000","CAMR","FCER","Y",37.3735772399801
"3671","BL000000","CAMR","FPRO","Y",89.7330645520059
"3672","BL000000","CAMR","FENE","Y",10.2227665119984
"3673","BL000000","CAMR","FMIL","Y",0.968163799710662
"3674","BL000000","CAMR","FOTH","Y",542.407948549513
"3770","BL000000","CAFR","FGRA","Y",203.408801136448
"3771","BL000000","CAFR","FMAI","Y",2641.75627811584
"3772","BL000000","CAFR","FOFA","Y",22.6069866980774
"3773","BL000000","CAFR","FROO","Y",70.6173497006441
"3774","BL000000","CAFR","FCOM","Y",116.252539057211
"3775","BL000000","CAFR","FSTR","Y",1.04010663070427
"3776","BL000000","CAFR","FCER","Y",36.2860839398779
"3777","BL000000","CAFR","FPRO","Y",204.889361619576
"3778","BL000000","CAFR","FENE","Y",9.92530528641323
"3779","BL000000","CAFR","FMIL","Y",0.939992248488092
"3780","BL000000","CAFR","FOTH","Y",387.933554693919
"3876","BL000000","PIGF","FMAI","Y",43.2385847157042
"3877","BL000000","PIGF","FCER","Y",192.30465832788
"3878","BL000000","PIGF","FPRO","Y",105.689265912351
"3879","BL000000","PIGF","FENE","Y",67.046558967496
"3880","BL000000","PIGF","FMIL","Y",3.39704601426677
"3881","BL000000","PIGF","FOTH","Y",3.2872965016136
"3977","BL000000","SOWS","FMAI","Y",657.63464517669
"3978","BL000000","SOWS","FCER","Y",780.480693437289
"3979","BL000000","SOWS","FPRO","Y",668.717749677598
"3980","BL000000","SOWS","FENE","Y",10.0042426198721
"3981","BL000000","SOWS","FMIL","Y",0.902350607223184
"3982","BL000000","SOWS","FOTH","Y",15.0131363034706
"4077","BL000000","SHGM","FGRA","Y",749.855513145582
"4078","BL000000","SHGM","FMAI","Y",80.0502882976127
"4079","BL000000","SHGM","FOFA","Y",440.341039726054
